babysit,false,baby,sit
backslide,
behold,
bend,
beset,true,beset
bind,
bleed,
breastfeed,false,breast,feed
breed,
bring,
buy,
catch,
cling,
cross-breed,false,cross,breed
cut,true,cut
deal,
dig,true,dig
feed,
feel,
fight,
find,
flee,
hold,true,hold
reset,false,re,set
set,true,set
sit,true,sit
