arise,
awake,
backlight,false,back,light
bear,
beat,
become,
bed,true,bed
befall,
begin,true,begin
bet,true,bet
bid,true,bid
bid,true,bid
bite,
blow,
blow,
break,
browbeat,false,brow,beat
build,
burn,
choose,
come,
dive,
do,
draw,
dream,
drink,
drive,
eat,
fall,
fly,
forbear,
forget,true,forget
freeze,
ghostwrite,false,ghost,write
give,
go,
grow,
hang,
hang,
know,
lie,
lie,
light,
misspeak,false,mis,speak
mistake,false,mis,take
outgrow,false,out,grow
outshine,false,out,shine
override,true,over,ride
overtake,true,over,take
prove,
redraw,true,re,draw
relight,true,re,light
retake,true,re,take
ride,
ring,
rise,
sew,
shake,
shine,
shit,true,shit
show,
sing,
shrink,
sink,
sow,
speak,
spotlight,false,spot,light
spring,
steal,
stink,
take,
tear,
throw,
tread,
undergo,true,under,go
underlie,
undertake,true,under,take
underwrite,true,under,write
undo,true,un,do
unfreeze,true,un,freeze
wake,
wear,
withdraw,true,with,draw
write,
