babysit,false,baby,sit
backslide,
behold,
bend,
beset,true,beset
bind,
bleed,
breastfeed,false,breast,feed
breed,
bring,
broadcast,
build,
buy,
cast,
catch,
cling,
creep,
cross-breed,false,cross,breed
cut,true,cut
deal,
dig,true,dig
feed,
feel,
fight,
find,
flee,
foretell,true,fore,tell
get,true,get
grind,
have,
hear,
hit,true,hit
hold,true,hold
hurt,
interbreed,true,inter,breed
keep,
kneel,
lay,
lead,
lend,
let,true,let
lose,
make,
mean,
mishear,true,mis,hear
mislead,true,mis,lead
misread,true,mis,read
misunderstand,true,mis,understand
mud-sling,false,mud,sling
naysay,false,nay,say
offset,true,off,set
outhit,true,out,hit
outsell,true,out,sell
overshoot,true,over,shoot
oversleep,true,over,sleep
overspend,true,over,spend
overthink,true,over,think
pay,
pay,
prepay,
proofread,false,proof,read
read,
rebuild,true,re,build
rehang,
remake,true,re,make
repay,
reread,true,re,read
resell,true,re,sell
reset,false,re,set
retell,true,re,tell
rethink,
say,
seek,
sell,
send,
set,true,set
shoe,
shoot,
shut,true,shut
sit,true,sit
sleep,
slide,
sling,
speed,
spellbind,
spend,
spin,true,spin
split,true,split
spread,
stand,
stick,
sting,
strike,
string,
sublet,false,sub,let
sweep,
swing,
teach,
tell,
think,
typecast,false,type,cast
undercut,true,under,cut
underpay,
undersell,true,under,sell
undershoot,true,under,shoot
understand,
unwind,true,un,wind
wind,
withhold,false,with,hold
withstand,false,with,stand
wring,
