game
garish
general
generic
generous
genetic
gentle
genuine
geographical
geological
giddy
glaring
gleeful
glib
glittering
global
glorious
glossy
good-humoured
gorgeous
graceful
graceless
gracious
gradual
grateful
gratuitous
grave
great
grievous
grim
grinding
grinning
gripping
grizzle
gross
grotesque
grovelling
grudging
gruesome
gruff
guilty
