obedient
objectionable
objective
obscene
obscure
obsessive
obvious
occasional
odd
off-putting
offensive
official
ominous
omnivorous
opaque
open
operational
opportunistic
optimistic
ordinary
organic
organisational
original
ostensible
ostentatious
outlandish
outrageous
outward
overt
overwhelming
