laborious
lame
large
lascivious
late
latter
laughable
lavish
lawful
lawless
lazy
legal
legislative
legitimate
lethal
liberal
light
likable
linguistic
listless
literal
live
local
lofty
logical
lone
loose
loud
lovable
loving
low
lucid
lucky
ludicrous
lurid
lush
luxuriant
luxurious
