wacky
warm
wary
waspish
weak
weary
weird
whimsical
wholehearted
wicked
wide
wild
wilful
willing
winning
wise
wistful
witty
woeful
wonderful
wonky
wooden
worried
worrying
wrong
wrongful
wry
