mad
magical
magnanimous
magnetic
magnificent
main
majestic
major
malicious
manic
manifest
manual
marginal
marked
massive
material
mathematical
matter-of-fact
meandering
meaningful
medical
meditative
melancholic
melting
memorable
menacing
mental
merciful
merciless
mere
merry
mesmeric
messy
metafictional
metaphorical
methodical
meticulous
metronomic
mighty
mild
military
mind-boggling
mindless
minimal
minute
miraculous
mischievous
misleading
mistaken
moderate
modest
modish
momentary
monstrous
monumental
moral
morbid
moronic
morose
mortal
most
mournful
moving
murderous
musical
mutual
mysterious
mystical
mythological
