iconic
ideal
ideological
illegal
illicit
imaginative
immaculate
immediate
imminent
impassive
impatient
imperfect
impish
implicit
imposing
impressive
improper
impulsive
inadequate
inappropriate
incidental
inconsistent
incorrect
increasing
indefinite
indirect
individual
ineffective
inefficient
infamous
infectious
infinite
informal
infrequent
infuriating
inherent
initial
innocent
insane
insistent
institutional
insufficient
insulting
intellectual
intelligent
intemperate
intense
intensive
intentional
interesting
internal
international
intimate
intimidating
intravenous
intricate
intriguing
intrinsic
intuitive
inventive
inward
ironic
irregular
