racial
radiant
radical
ragged
rakish
random
rapid
rare
rash
raucous
ready
real
realistic
reasonable
reassuring
recent
reckless
recognisable
reflexive
refreshing
regal
regional
regular
relative
relentless
relevant
reliable
religious
reluctant
remarkable
remote
repeated
reported
reputed
resentful
resolute
resounding
respectful
respective
responsible
restless
retrospective
reverential
rhetorical
rhythmic
rich
ridiculous
right
rightful
rigorous
riotous
ritual
riveting
robust
roguish
romantic
rough
round
routine
royal
rude
rueful
ruthless
