babble,
baby,
back,
backdate,false,back,date
backdrop,false,back,drop
backfill,false,back,fill
backfire,false,back,fire
background,
backpack,
backpedal,
backstab,false,back,stab
backtrack,
badge,
badger,false,badger
baffle,
bag,true,bag
bagsy,
bail,
bait,
bake,
balance,
bald,
bale,
balk,
balloon,
ballot,false,ballot
bamboozle,
ban,true,ban
band,
bandage,
bandy,
bang,
banish,
bank,
bankroll,
bankrupt,
banquet,
banter,false,banter
baptise,
bar,true,bar
barb,
barbecue,
barcode,
bare,
barf,
bargain,
barge,
bark,
barnstorm,
barrack,
barrel,
barricade,
bartend,
barter,false,barter
base,
basejump,
bash,
bask,
bastardise,
bat,
batch,
bate,
bath,
bathe,
batten,false,batten
batter,false,batter
battle,
bawl,
bay,
bbq,
beach,
bead,
beam,
beckon,false,beckon
bedazzle,
bedevil,
bedraggle,
beef,
beep,
befit,true,betfit
befriend,
befuddle,
beg,true,beg
begrudge,
beguile,
behave,
behead,
bejewel,
belch,
belie,
believe,
belittle,
bellow,
belly,
belong,
belt,
bemoan,
bemuse,
bench,
benchmark,
bend,
benefit,false,benefit
bequeath,
berate,
bereave,
beseech,
besiege,
bestow,
betray,
bewilder,false,bewilder
bewitch,
bias,
bicker,false,bicker
bicycle,
bide,
bike,
bill,
billow,
bin,true,bin
bing,
binge,
biodegrade,
bioengineer,
biohack,
biomagnify,
birch,
birth,
bisect,
bitch,
bitter,false,bitter
blab,true,blab
black,
blacken,false,blacken
blackface,
blacklist,
blackmail,
bladder,false,bladder
blade,
blag,true,blag
blame,
blank,
blanket,false,blanket
blare,
blaspheme,
blast,
blaxploit,
blaze,
bleach,
bleat,
bleep,
blemish,
blend,
bless,
blight,
blind,
blindfold,
blindside,
bling,
blink,
blister,false,blister
blither,false,blither
blitz,
bloat,
blob,true,blob
block,
blockade,
blog,true,blog
bloodcurdle,
bloodstain,
bloody,
bloom,
blossom,false,blossom
blot,true,blot
blotch,
blub,true,blub
blubber,false,blubber
bludgeon,
bluff,
blunder,false,blunder
blunt,
blur,true,blur
blurt,
blush,
bluster,false,bluster
board,
boast,
boat,
bob,true,bob
bode,
bodge,
bodyshame,
bog,true,bog
boggle,
boil,
boing,
bollock,
bolster,false,bolster
bolt,
bomb,
bombard,
bond,
bondage,
bone,
bong,
bonk,
boo,
book,
bookend,
boom,
boomerang,
boost,
boot,
bootleg,false,boot,leg
booze,
bop,true,bob
border,false,border
bore,
borrow,
boss,
botch,
bother,false,bother
botox,
bottle,
bounce,
bound,
bow,
bowl,
box,
boycott,
brace,
bracket,false,bracket
brag,true,brag
braid,
brainstorm,
brainwash,
braise,
brake,
branch,
brand,
brandish,
brave,
brawl,
bray,
breach,
bread,
breakfast,
breathe,
breeze,
brew,
bribe,
brick,
bridge,
bridle,
brief,
brighten,false,brighten
brim,true,brim
bristle,
broach,
broadcast,
broaden,false,broaden
brocade,
broil,
broker,false,broker
bronze,
brood,
brook,
brown,
browse,
bruise,
brush,true,brush
brutalise,
bubble,
buccaneer,
buck,
bucket,false,bucket
buckle,
bud,true,bud
budge,
budget,false,budget
buff,
buffer,false,buffer
buffet,false,buffet
bug,true,bug
bugger,false,bugger
bulge,
bulk,
bulldoze,
bully,
bumble,
bump,
bunch,
bundle,
bung,
bungle,
bunk,
bunker,false,bunker
bunt,
buoy,
burble,
burden,false,burden
burgeon,
burgle,
burnish,
burp,
burrow,
burst,
bury,
bus,true,bus
busk,
bust,
bustle,
butcher,false,butcher
butt,
butter,false,butter
button,false,button
buzz,
bypass,
